date,yhat,yhat_lower,yhat_upper,model,product_name,distributor,key_type,key_id
2025-12-01,2617.4400000000005,-154.36834165118034,5389.248341651181,sarimax,14-Day Acai Berry Cleanse 56ct,DIRECT,product_distributor,14-Day Acai Berry Cleanse 56ct | DIRECT
2025-09-01,179.85000000000002,-2591.958341651181,2951.6583416511808,sarimax,15 Day Weight Loss Cleanse,PALKO,product_distributor,15 Day Weight Loss Cleanse | PALKO
2025-10-01,179.85000000000002,-3740.078949061978,4099.778949061978,sarimax,15 Day Weight Loss Cleanse,PALKO,product_distributor,15 Day Weight Loss Cleanse | PALKO
2025-11-01,179.85000000000002,-4621.062876583078,4980.762876583079,sarimax,15 Day Weight Loss Cleanse,PALKO,product_distributor,15 Day Weight Loss Cleanse | PALKO
2025-12-01,179.85000000000002,-5363.766683302361,5723.466683302362,sarimax,15 Day Weight Loss Cleanse,PALKO,product_distributor,15 Day Weight Loss Cleanse | PALKO
2025-11-01,1833.96,-937.8483416511808,4605.768341651181,sarimax,15-Day Weight Loss Support Cleanse & Flush 60ct,DIRECT,product_distributor,15-Day Weight Loss Support Cleanse & Flush 60ct | DIRECT
2025-12-01,1833.96,-2085.968949061978,5753.888949061979,sarimax,15-Day Weight Loss Support Cleanse & Flush 60ct,DIRECT,product_distributor,15-Day Weight Loss Support Cleanse & Flush 60ct | DIRECT
2025-11-01,203.00000000000003,-2568.808341651181,2974.808341651181,sarimax,15-Day Weight Loss Support Cleanse & Flush 60ct,UNFI,product_distributor,15-Day Weight Loss Support Cleanse & Flush 60ct | UNFI
2025-12-01,203.00000000000003,-3716.928949061978,4122.9289490619785,sarimax,15-Day Weight Loss Support Cleanse & Flush 60ct,UNFI,product_distributor,15-Day Weight Loss Support Cleanse & Flush 60ct | UNFI
2025-11-01,1789.8799999999999,-981.928341651181,4561.688341651181,sarimax,15DAY WEIGHT LOSS CLENSE & FLS 60T,THRESHOLD,product_distributor,15DAY WEIGHT LOSS CLENSE & FLS 60T | THRESHOLD
2025-12-01,1789.8799999999999,-2130.0489490619784,5709.808949061978,sarimax,15DAY WEIGHT LOSS CLENSE & FLS 60T,THRESHOLD,product_distributor,15DAY WEIGHT LOSS CLENSE & FLS 60T | THRESHOLD
2025-10-01,143.88,-2627.9283416511807,2915.688341651181,sarimax,15DAY WEIGHT LOSS&FLUSH,SUPERNATURAL,product_distributor,15DAY WEIGHT LOSS&FLUSH | SUPERNATURAL
2025-11-01,143.88,-3776.048949061978,4063.808949061978,sarimax,15DAY WEIGHT LOSS&FLUSH,SUPERNATURAL,product_distributor,15DAY WEIGHT LOSS&FLUSH | SUPERNATURAL
2025-12-01,143.88,-4657.032876583078,4944.792876583078,sarimax,15DAY WEIGHT LOSS&FLUSH,SUPERNATURAL,product_distributor,15DAY WEIGHT LOSS&FLUSH | SUPERNATURAL
2025-10-01,31.979999999999997,-2739.828341651181,2803.788341651181,sarimax,2 in 1 Cleanse & Flush Weight Loss Support,PALKO,product_distributor,2 in 1 Cleanse & Flush Weight Loss Support | PALKO
2025-11-01,31.979999999999997,-3887.948949061978,3951.908949061978,sarimax,2 in 1 Cleanse & Flush Weight Loss Support,PALKO,product_distributor,2 in 1 Cleanse & Flush Weight Loss Support | PALKO
