posting_date,year,quarter,product_name,upc_item_code_raw,upc_item_code_norm12,distributor_item_code,distributor,sales_rep,canonical_code,base_card_code,ship_to_code,quantity,revenue,amount_raw,transaction_hash
2025-12-31,2025,Q4,POWER TO SLEEP MAGNESIUM PM+FLOWER 60CAP,840081413166,840081413166,1290,THRESHOLD,,02AZ8224_BEEHEALTHE,,,2,24.62,24.62,670cf16896476a676138fe7282232f95ccb6d99caf08f30867bcbe8b1c2c850b
2025-12-31,2025,Q4,COLLAGEN BEAUTY 80CAP,710363592127,710363592127,1281,THRESHOLD,,02AZ8224_BEEHEALTHE,,,2,38.03,38.03,436a61c2dd5d1185b6cac06b2f1b31538f03fc23ed5868115f19a1a0f935fa4b
2025-12-31,2025,Q4,ALPHA-CHOLINE BRAIN&MUSCLE XS 60CAP,840081413227,840081413227,1291,THRESHOLD,,02AZ8224_BEEHEALTHE,,,2,0,0,a98254ea649461caeb6a73cb8bc5576449331c5229bccaee3d734b0e0af4ef48
2025-12-31,2025,Q4,ALPHA-CHOLINE BRAIN&MUSCLE XS 60CAP,840081413227,840081413227,1291,THRESHOLD,,02CA1727_MERITHOMEOPATHY,,,2,0,0,1b31ed19deb380b0845d7f6f442b02d101b5bf8f88a2ab6bac635921f589563a
2025-12-31,2025,Q4,ALPHA-CHOLINE BRAIN&MUSCLE XS 60CAP,840081413227,840081413227,1291,THRESHOLD,,02CA5131_VITAMINCITY,,,2,0,0,13203431b60fcfaafc96f45b10b1fde81e3a38b038a26d7891a1d75d88d708c8
2025-12-31,2025,Q4,ALPHA-CHOLINE BRAIN&MUSCLE XS 60CAP,840081413227,840081413227,1291,THRESHOLD,,02CA5879_HARVESTHEALTH,,,1,0,0,522ea4b22479198cc2f6c8c7896e8cf9a816a3862936ab81ed967220d01417b1
2025-12-31,2025,Q4,MAGNESIUM + BEETS & COQ10 60CAP,840081413081,840081413081,1288,THRESHOLD,,02CA7360_SPROUTS-CHULAVISTA,,,3,50.52,50.52,095a59ea36054d3cb08a27a792def04c91227ce0a91770909909681e1f004521
2025-12-31,2025,Q4,APPLE CIDER VINEGAR + METABOLISM 40GUMMIES,840081413449,840081413449,1292,THRESHOLD,,02CA9002A_THEBEEHIVE,,,1,11.99,11.99,59e52a9865425a0a9a18e42fd9794bc9d400a957a1d29f839a2f938aa339d3a7
2025-12-31,2025,Q4,APPLE CIDER VINEGAR + METABOLISM 40GUMMIES,840081413449,840081413449,1292,THRESHOLD,,02CA9002A_THEBEEHIVE,,,1,0,0,f3712a8e643a61a6a3ac862dfcb6d12b934c6a2f2695d5443d9a1c1e527dee9e
2025-12-31,2025,Q4,MAGNESIUM + WHOLE-BODY BALANCE 30GUMMIES,840081413685,840081413685,1294,THRESHOLD,,02CA9002A_THEBEEHIVE,,,1,11.99,11.99,9940b200a3897f8e794dab9e56dec2b9009292af6d9a5bd1dcb20f7c76c18072
