sku_name,upc_norm12,ytd_revenue,ytd_units,growth_rate,profit_margin
Collagen Beauty,710363592127,26608.53,2416,0.01277289102523773181,
Power to Sleep Magnesium PM + Relaxing Flower Complex,840081413166,23675.69,4279,,
Testosterone Up Peak Performance (G),840081413609,21058.40,1844,,
Magnesium + Beets & CoQ10,840081413081,19754.83,3434,,
Ashwagandha Healthy Brain Mood & Stress,840081412312,19370.05,1829,133.5703070723912741,
Magnesium + Milk Thistle & Turmeric,840081413128,17687.84,3427,,
Turbo-Energy Libido-Max RED,840081413043,9840.94,1748,,
Milk Thistle Liver Detox (G),840081413562,3335.17,424,,
Stress-Defy Balanced Calm Focused (G),840081413487,3335.17,421,,
Maca Root + Ashwagandha (G),840081413524,3264.82,417,,
Apple Cider Vinegar + Metabolism (G),840081413449,2541.62,426,,
Magnesium + Whole-Body Balance (G),840081413685,2501.57,403,,
Milk Thistle Triple-Detox,840081413265,788.39,718,,
Alpha-Choline Brain & Muscle Support Extra-Strength,840081413227,0.00,17,,
