canonical_code,product_name,revenue_ytd,units_ytd,txn_count,rank
02NJ9836_WISERMERCHANT,"",592.49,42,3,1
02MD1224_UNIVERSALHERBS,"",247.96,18,5,2
02NY1370_DARISIINCSN,"",205.66,15,5,3
02NY0977_LOC_3ba7f3f5a982,"",138.32,10,1,4
02NJ4800_PAYABLE,"",125.74,9,2,5
02NY1237_LOC_321e4222d983,"",121.95,9,1,6
02OH5151_DOWNTOEARTHNATURALFOOD,"",98,6,1,7
02MA1803_SPEROGOODSHG,"",90.46000000000001,6,3,8
02NH3561_LITTLETONCONSUMCOOPSN,"",84,6,2,9
02WV2490_LOC_b6fb877e5c24,"",59.2,4,1,10
02NY1216_LOC_cfa74855cf55,"",57.24,4,1,11
02NY1520_MERRICKVITAMINHEALTH,"",44.22,3,1,12
02NY0065_HEALTHNUTS1,"",42.9,3,1,13
02MI1600_PLUMMARKET,"",36.69,3,1,14
02NY1210_LOC_1da959e85eab,"",32.18,2,1,15
02NY1120_LOC_d2bc3f054a23,"",31.02,2,1,16
02NY1372_LOC_c21841d34486,"",29.68,2,1,17
02FL2809_LOC_6deaeca6f3ec,"",0,2,2,18
02TX1371_ABNERSNUTRITIONCENTER,10-DAY ACAI BERRY SUPER CLEANSE 60SG,74.83,6,1,1
02IL0100_FRUITFULYIELD-SELGIN,10-DAY ACAI BERRY SUPER CLEANSE 60SG,59.48,6,1,2
02MI0568_WALTSHEALTHFOOD,10-DAY ACAI BERRY SUPER CLEANSE 60SG,54.37,4,1,3
02WI2989_HEALTHHUT-HALESCORNER,10-DAY ACAI BERRY SUPER CLEANSE 60SG,46.05,4,1,4
09MS06979_FREEDOMPHARMACY,10-DAY ACAI BERRY SUPER CLEANSE 60SG,39.34,3,1,5
02IL8009_FOODFANTASIES,10-DAY ACAI BERRY SUPER CLEANSE 60SG,32.14,3,2,6
02CA9501_OLIVERSMARKET,10-DAY ACAI BERRY SUPER CLEANSE 60SG,32.14,3,1,7
09TX4212_MONAHANSPHARMACY,10-DAY ACAI BERRY SUPER CLEANSE 60SG,30.38,2,1,8
02IL8240_FRUITFULYIELD-JOLIET,10-DAY ACAI BERRY SUPER CLEANSE 60SG,21.43,2,1,9
02NY0383_HONESTWEIGHTCOOP,10-DAY ACAI BERRY SUPER CLEANSE 60SG,21.43,2,1,10
02OH7772_HEALTHYALTERNATIVES,10-DAY ACAI BERRY SUPER CLEANSE 60SG,21.43,2,1,11
02PA3524_NATURESWAY,10-DAY ACAI BERRY SUPER CLEANSE 60SG,10.71,1,1,12
02NY1000_FEELRITENATURALFOODS-TRANSIT,10-DAY ACAI BERRY SUPER CLEANSE 60SG,10.71,1,1,13
02TX0765_HERBMART,10-DAY ACAI BERRY SUPER CLEANSE 60SG,10.71,1,1,14
02WI3925_BASICSNATURALFOODMARKET,10-DAY ACAI BERRY SUPER CLEANSE 60SG,10.71,1,1,15
02MS0211_WHOLESALENUTRITION,10-DAY ACAI BERRY SUPER CLEANSE 60SG,10.71,1,1,16
02FL5682_EARTHORIGINS9,10-DAY ACAI BERRY SUPER CLEANSE 60SG,10.71,1,1,17
