distributor,product_name,revenue_ytd,units_ytd,txn_count
DIRECT,14-Day Acai Berry Cleanse 56ct,89787.15,11568,98
DIRECT,15-Day Weight Loss Support Cleanse & Flush 60ct,106463.79999999996,11853,97
DIRECT,2-IN-1 Cleanse & Flush Weight Loss Support 60ct,78331.53000000001,6544,81
DIRECT,2-IN-1 Kidney & Liver Super Cleanse 60ct,291099.23,19529,156
DIRECT,3-in-1 Joint Formula 90ct,116272.82000000004,6296,147
DIRECT,5-Day Liquid Cleanse & Flush 10ct,12881.310000000001,1262,43
DIRECT,7-Day Ultimate Cleanse (2 Part Program),55438.459999999985,6176,56
DIRECT,Active-Energy Magnum Maca  84ct (300cc),-212.35999999999999,-16,5
DIRECT,Advanced Absorption Mega B-Complex 60ct,150356.19,14083,214
DIRECT,Aller-Pure Histamine Support 54ct,6621.240000000002,280,19
DIRECT,Allowance,-5195.41,-55,55
DIRECT,Aloe & Triphala Active-Cleanse and Probiotics 60ct,43567.01999999999,3167,76
DIRECT,Anti-Gas Digestive Enzymes 45ct,25081.25999999999,1825,62
DIRECT,Ashwagandha Healthy Brain Mood & Stress 60ct,10132.480000000001,527,31
DIRECT,Beet Root RED 60ct,34815.77999999999,2339,85
DIRECT,Beets-4-Cardio Peak Performance 60ct,12127.470000000001,853,34
DIRECT,Biotin-6000 Strength & Protection 60ct,5483.45,400,33
DIRECT,Bloat-Away 60ct,27543.350000000002,2103,79
DIRECT,Blood Sugar Balance Berberine-Body+Fat Burner 56ct,165867.8,9528,129
DIRECT,Body Fat-Diet System-Six RED 72ct,10617.410000000002,673,37
DIRECT,Brain Awake 60ct,36707.26000000001,2897,93
DIRECT,Brain Awake Max3 + Nitric Oxide Booster 60ct,143.88,12,3
DIRECT,Brain Awake RED 60ct,25571.710000000003,2179,85
DIRECT,CBD 15mg Gummies Mixed Berry 30ct,532.56,88,7
DIRECT,CBD 15mg + Melatonin Gummies Lemon Lime 30ct,2590.9200000000005,144,14
DIRECT,CBD + 15mg Per Soft-Gel 60ct,23480.899999999998,1227,46
DIRECT,CBD 30mg Gummies Raspberry Ripple 30ct,15545.520000000002,574,34
DIRECT,CBD + 30mg Per Soft-Gel 60ct,25376.18,817,43
DIRECT,CBD + 50mg Per Soft-Gel 60ct,24462.6,550,32
DIRECT,CBD + Ashwagandha 60ct,5216.52,352,24
DIRECT,CBD Balm 1000mg 2oz,2504.8799999999997,72,6
DIRECT,CBD Balm + Arnica 1000mg,21708.96,651,23
DIRECT,CBD Balm + Menthol 1000mg,5844.719999999999,175,8
DIRECT,CBD Cream + Arnica 1000mg,15864.239999999998,487,18
DIRECT,CBD Cream + Menthol 1000mg,0,5,2
DIRECT,CBD Gel + Arnica 1000mg,17418.96,519,17
DIRECT,CBD Gel + Menthol 1000mg,834.9599999999999,25,2
DIRECT,CBD + Joint Health 78ct,0,1,1
DIRECT,CBD + Melatonin 60ct,496.43999999999994,36,3
DIRECT,CBD Oil Drops 1000mg (Peppermint) 1 fl. oz.,950.04,61,7
DIRECT,CBD Oil Drops 250mg (flavorless) 1 fl. oz.,9167.18,854,26
DIRECT,CBD + Power to Sleep 60ct,7926.969999999999,577,16
DIRECT,CBD + Stress Defy 84ct,-251.88,-9,4
DIRECT,CBD + Sunny Mood 75ct,-302.28,-12,3
DIRECT,CBD + Turmeric 60ct,7509.759999999998,450,24
DIRECT,CBD + Turmeric Extra Strength 60ct,575.76,264,1
DIRECT,CLA Lean Body Fat Reduction 80ct,23067.399999999994,1835,77
DIRECT,Clinically Proven Verisol Collagen Beauty Fine Lines & Wrinkles 80ct,18779.11,1089,37
DIRECT,CoQ10-RED 60ct,45465.42,2451,52
DIRECT,Daily Gentle Cleanse 60ct,23608.190000000002,2009,86
DIRECT,Daily Multi Testosterone UP Booster for Men 60ct,78353.65000000001,4836,100
DIRECT,Deep Tissue Collagen-Pure 80ct,22848.83,1584,65
DIRECT,Double Potency 5-HTP Extra 60ct,31257.449999999993,2637,97
DIRECT,Double Potency CBD 30mg 90ct Value Size 400cc,17880.48,432,17
DIRECT,Double Potency CBD (30mg Per Soft-Gel) 15ct 200cc,1546.59,103,13
DIRECT,Double-Potency Fish Oil Pure 60ct,805.73,72,3
DIRECT,Double- Potency Ginkgo Biloba 60ct,11501.530000000002,792,50
DIRECT,Dual-Action Fat Burner RED 75ct,7219.2,480,26
DIRECT,"Empty, 12pc GLP-1 Display",0,6,5
DIRECT,"Empty, 12pc Gummies Floor Display",0,2,1
DIRECT,"Empty, 24pc. Universal Green Floor Display",0,37,13
DIRECT,"Empty,Universal Flr Dis",0,2,1
DIRECT,Energy & Endurance Testosterone UP Men Over 40 60ct,51988.02999999998,2504,78
DIRECT,EstroPause Menopause Support 80ct,19704.370000000003,1657,75
DIRECT,Extra-Energy Thermo-Fuel Max Fat Burner 100ct,22313.909999999996,1329,56
DIRECT,Extra-Strength Alpha-Choline Brain & Muscle Support 60ct,0,17,3
DIRECT,Extra Strength Ashwagandha 60ct,31236.090000000004,2214,86
DIRECT,Extra Strength CBD 50mg 90ct Value Size 400cc,38153.63999999999,640,22
DIRECT,Extra-Strength CBD (50mg Per Soft-Gel) 15ct 200cc,1348.3200000000002,80,10
DIRECT,Extra Strength CBD Oil 2000mg (peppermint) 2 fl. oz.,10927.32,270,11
DIRECT,Extra Strength CBD Oil Drops 1000mg (Unflavored) 1 fl. oz.,6966.960000000001,272,12
DIRECT,Extra Strength CBD Oil Drops 2000mg (flavorless) 2 fl. oz.,11920.8,292,10
DIRECT,Extra Strength Colon Flush 60ct,44698.53,3750,52
DIRECT,"Extra Strength Testosterone Up v2, 60ct",20453.78,875,45
DIRECT,Female Balance KSM-66 Ashwagandha 60ct,26078.300000000003,2764,56
DIRECT,Forskolin Fat-Loss Diet Stimulator 60ct,81493.31999999998,5916,94
DIRECT,Garcinia HCA Fat Reduction Diet 90ct,3607.3,288,16
DIRECT,Ginkgo Smart Maximum Focus & Memory 120ct VALUE SIZE,238276.10999999996,11385,138
DIRECT,Ginkgo Smart Maximum Focus & Memory 60ct,72652.99999999999,6121,112
DIRECT,Ginza-Plus Maca & Rhodiola 75ct,388.44,36,4
DIRECT,Gluten & Dairy Digestive Aid 50ct,40965.72,4771,48
DIRECT,Good Mood Sleep PM 54ct,12520.230000000001,2321,47
DIRECT,Green Tea Fat Burner 30ct,21968.660000000003,3696,46
DIRECT,Green Tea Fat Burner 90ct SSLV,124206.73999999999,11099,156
DIRECT,Green Tea Fat Metabolizer 150ct VALUE SIZE,9932.280000000002,372,25
DIRECT,Green Tea Fat Metabolizer 75ct,9988.04,697,33
DIRECT,Green Tea Triple Fat Burner 30ct,31676.54,4380,74
DIRECT,Gummies Apple Cider Vinegar 40ct,467.55,131,19
DIRECT,Gummies Maca Root Ashwagandha 42ct,623.46,131,19
DIRECT,Gummies Magnesium Whole-Body 40ct,467.55,131,19
DIRECT,Gummies Milk Thistle Liver Detox 30ct,623.46,133,20
DIRECT,Gummies Stress-Defy Balanced 30ct,623.46,131,19
DIRECT,Gummies Testosterone Up Peak 30ct,527.52,119,18
DIRECT,Gut-to-Brain Hunger Control 60ct,46949.350000000006,2443,72
DIRECT,Hair Follicle Stimulator 60ct,35237.399999999994,3062,75
DIRECT,Healthy Brain ALA 60ct,36879.42,3421,34
DIRECT,Healthy Brain All-Day Focus 50ct,46880.399999999994,4944,70
DIRECT,Healthy Brain All-Day Focus 60ct,55599.89,4444,49
DIRECT,Healthy-Flow Saw Palmetto 60ct,10620.96,624,27
DIRECT,Healthy Tract Prebiotic 60ct,143.88,12,1
DIRECT,High Potency Mega D3+K2 Turmeric Extract 60ct,186055.77,17398,166
DIRECT,Immuno-Shield All Season Wellness 100ct,37569.32999999999,3157,94
DIRECT,Immuno-Shield with Elderberry 60ct,15160.679999999995,1404,72
DIRECT,Inflamma-Less 80ct,48026.119999999966,2905,114
DIRECT,Inholtra Premium Lubri-Joint 120ct,37663.62999999999,1494,42
DIRECT,Keto-Karma Burn Fat RED 72ct,11953.030000000002,804,42
DIRECT,L-Arginine + Horney Goat Weed 75ct,19389.15,1554,80
DIRECT,L-Citrulline + L-Arginine 60ct,15007.520000000004,1180,64
DIRECT,Libido-Max 30ct SKINNY,3400.3199999999997,528,23
DIRECT,Libido-Max 75ct,38331.23999999999,2316,92
DIRECT,Libido-Max for Active Men 60ct,41901.030000000006,3171,117
DIRECT,Libido-Max RED 30ct SKINNY,3360.72,528,19
DIRECT,Liquid Collagen & Hyaluronic Acid,57655.07999999999,6012,29
DIRECT,Liquid Collagen Skin Revitalization 10ct,274059.28,35422,71
DIRECT,Liquid Quick-Delivery Ashwagandha Mind Body 10ct,6618.48,552,16
DIRECT,Liver Detox & Blood Refresh 60ct,139115.77,9356,116
DIRECT,Living Green Liquid-Gel Multi for MEN 120ct VALUE SIZE,180534.76999999996,9026,150
DIRECT,Living Green Liquid-Gel Multi for MEN 90ct,65727.89,3822,89
DIRECT,Living Green Liquid-Gel Multi for WOMEN 120ct VALUE SIZE,107059.95999999996,5516,134
DIRECT,Living Green Liquid-Gel Multi for WOMEN 90ct,12142.369999999999,735,44
DIRECT,Longer Stronger Hair & Nails 120ct Value Size,44294.34999999999,2148,80
DIRECT,Longer Stronger Hair & Nails 60ct,52243.689999999995,5067,135
DIRECT,Longjack Extract Potency Wood Primal-Male 60ct,9417.66,769,46
DIRECT,Love My Legs 60ct,49011.1,2867,59
DIRECT,Maca Root and Ashwagandha 75ct,117244.55000000003,7855,121
DIRECT,Magnesium + Beets & CoQ10 60ct,12757.740000000002,2073,22
DIRECT,Magnesium + Milk Thistle & Turmeric 60ct,11203.5,1993,27
DIRECT,Magnum Blood-Flow Sexual Peak Performance 16ct,5478.72,768,19
