month,product_name,revenue,units,txn_count
2025-01-01,10-DAY ACAI BERRY SUPER CLEANSE 60SG,497.28,43,18
2025-01-01,14-Day Acai Berry Cleanse 56ct,4767.48,612,9
2025-01-01,15 Day Weight Loss Cleanse,127.09,11,4
2025-01-01,15DAY WEIGHT LOSS CLENSE & FLS 60T,3003.4400000000005,303,131
2025-01-01,15DAY WEIGHT LOSS&FLUSH,191.84,16,4
2025-01-01,15-Day Weight Loss Support Cleanse & Flush 60ct,6348.74,708,12
2025-01-01,2 in 1 Cleanse & Flush Weight Loss Support,124.72000000000001,9,4
2025-01-01,2-IN-1 Cleanse & Flush Weight Loss Support 60ct,13236.960000000001,1104,12
2025-01-01,2IN1 CLEANSE & FLUSH WEIGHT LOSS SUPPORT 60SG,3462.0800000000004,282,103
2025-01-01,2 in 1 Kidney & Liver Super Cleanse,600.6800000000001,35,13
2025-01-01,2-IN-1 Kidney & Liver Super Cleanse 60ct,23144.559999999998,1592,66
2025-01-01,2IN1 KIDNEY & LIVER SUPER CLEANSE 60SG,24067.050000000025,1516,613
2025-01-01,3IN1 CARB BLOCKER MAXIMUM STRENGTH 75SG,6854.949999999999,540,252
2025-01-01,3IN1 CARB BLOCKER MAX STRENGTH VALUE SIZE 150SG,2276.41,99,37
2025-01-01,3 in 1 Joint Formula,618.49,29,12
2025-01-01,3IN1 JOINT FORMULA,594.96,24,6
2025-01-01,3IN1 JOINT FORMULA 60SG,14157.910000000003,706,309
2025-01-01,3-in-1 Joint Formula 90ct,29569.26000000001,1920,117
2025-01-01,5-Day Liquid Cleanse & Flush 10ct,2136.11,192,6
2025-01-01,5-HTP XTRA DOUBLE POTENCY,207.87,13,5
2025-01-01,60 SG FISH OIL PURE 2XPOTENCY,1067.1100000000001,89,15
2025-01-01,60 SG MENS FENUGREEK RED,474.96,24,2
2025-01-01,60 SG WOMENS DIET CELLU THIGHS,50.370000000000005,6,1
2025-01-01,7DAY ULTIMAT CLEANS 2PART 1KIT,2933.0600000000004,294,106
2025-01-01,7 Day Ultimate Cleanse,280.56,25,9
2025-01-01,7-Day Ultimate Cleanse (2 Part Program),3459.24,394,47
2025-01-01,ACTIVE CLEANSE PROBIOTIC,183.9,10,2
2025-01-01,ACTIVE ENERGY MAGNUM MACA,0,0,3
2025-01-01,Advanced Absorption Mega B-Complex 60ct,22115.18000000001,2158,108
2025-01-01,ADVANCED ABSORPTION MEGA B COMPLEX 60SG,24079.420000000013,2084,745
2025-01-01,ALLERPURE HISTAMINE CLEAR,191.94,6,2
2025-01-01,ALLER-PURE HISTAMINE CLEAR 54SG,1736.0600000000004,67,28
2025-01-01,Aller-Pure Histamine Support 54ct,2590.92,111,5
2025-01-01,Allowance,-648.9399999999998,-11,11
2025-01-01,Aloe & Triphala Active-Cleanse and Probiotics 60ct,1952.6599999999999,144,5
2025-01-01,ALOE & TRIPHALA ACTIVE CLEANSE & PROBIOTICS 60SG,4000.739999999999,275,136
2025-01-01,ANTI-GAS DIGESTIVE ENZYME,147.12,8,4
2025-01-01,Ashwagandha Extra Strength Mind Body,146.79,9,4
2025-01-01,ASHWAGANDHA HEALTHY BRAIN MOOD & STRESS60CAPS,112.27,6,1
2025-01-01,Ashwagandha Healthy Brain Mood & Stress 60ct,3051.1400000000003,170,5
2025-01-01,ASHWAGANDHA MOOD & STRESS,107.94000000000001,6,7
2025-01-01,ASHWAGANDHA XTRA STRENGTH,422.18000000000006,22,7
