sales_rep,product_name,revenue_ytd,units_ytd,txn_count
-1.0,Ultimate Cleanse (2 Part Program),197.89000000000004,11,6
10.0,15DAY WEIGHT LOSS CLENSE & FLS 60T,137.39999999999998,13,4
10.0,15-Day Weight Loss Support Cleanse & Flush 60ct,6406.76,711,33
10.0,2 in 1 Cleanse & Flush Weight Loss Support,40.77,3,1
10.0,2-IN-1 Cleanse & Flush Weight Loss Support 60ct,57411.38,4788,26
10.0,2IN1 CLEANSE & FLUSH WEIGHT LOSS SUPPORT 60SG,956.4300000000001,73,42
10.0,2 in 1 Kidney & Liver Super Cleanse,50.97,3,1
10.0,2-IN-1 Kidney & Liver Super Cleanse 60ct,201156.99999999997,13429,76
10.0,2IN1 KIDNEY & LIVER SUPER CLEANSE 60SG,2287.45,146,59
10.0,3IN1 CARB BLOCKER MAXIMUM STRENGTH 75SG,1471.9,112,69
10.0,3 in 1 Joint Formula,63.21,3,1
10.0,3-in-1 Joint Formula 90ct,68494.81999999999,3691,48
10.0,3IN1 JOINT FORMULA 90SG,1479.3200000000004,78,52
10.0,60 SG FISH OIL PURE 2XPOTENCY,251.79,21,2
10.0,60 SG MENS FENUGREEK RED,474.96,24,2
10.0,60 SG WOMENS DIET CELLU THIGHS,50.370000000000005,6,1
10.0,7DAY ULTIMAT CLEANS 2PART 1KIT,1509.6600000000005,155,17
10.0,Advanced Absorption Mega B Complex,36.69,3,1
10.0,Advanced Absorption Mega B-Complex 60ct,91456.83,8497,55
10.0,ADVANCED ABSORPTION MEGA B COMPLEX 60SG,2273.21,203,105
10.0,ALLER-PURE HISTAMINE CLEAR 54SG,601.7099999999999,23,13
10.0,Aller-Pure Histamine Support 54ct,2590.92,108,4
10.0,Aloe & Triphala Active-Cleanse and Probiotics 60ct,5783.53,420,14
10.0,Anti-Gas Digestive Enzymes 45ct,157.20999999999998,12,1
10.0,ANTI-GAS DIGESTIVE ENZYMES 45SG,604.48,41,31
10.0,APPLE CIDER VINEGAR + METABOLISM 40GUMMIES,287.99,49,23
10.0,Ashwagandha Extra Strength Mind Body,48.93,3,1
10.0,ASHWAGANDHA HEALTHY BRAIN MOOD & STRESS60CAPS,628.71,51,33
10.0,Ashwagandha Healthy Brain Mood & Stress 60ct,388.58,24,1
10.0,Beet Root RED 60ct,10424.050000000001,708,24
10.0,BEET ROOT RED 60SG,1252.0499999999995,76,56
10.0,Beets-4-Cardio Peak Performance 60ct,7630.47,540,13
10.0,BEETS 4 CARDIO PEAK PERFORMANCE 60SG,413.81,27,18
10.0,BIOTIN 6000 STRENGTH & PROTECTION 60SG,298.84000000000003,20,18
10.0,Bloat-Away 60ct,4431.84,336,13
10.0,BLOAT AWAY 60SG,118.02,10,6
10.0,Blood Sugar Balance Berberine-Body+Fat Burner 56ct,87917.13,5133,40
10.0,BLOOD SUGAR BALANCE BERBERINE BODY+FAT BURNER 56SG,1641.8800000000003,97,24
10.0,Body Fat-Diet System-Six RED 72ct,32.38,2,1
10.0,Brain Awake 60ct,7633.41,585,24
10.0,BRAIN AWAKE 60SG,796.74,55,40
10.0,Brain Awake RED 60ct,1366.86,130,3
10.0,BRAIN AWAKE RED 60SG,103.28999999999999,12,7
10.0,CBD 15MG 60SG,1487.9600000000005,72,51
10.0,CBD 15mg Gummies Mixed Berry 30ct,0,4,1
10.0,CBD 15mg + Melatonin Gummies Lemon Lime 30ct,0,4,1
10.0,CBD 15 MG + MELATONIN LEMON LIME 30GUMMY,546.03,21,19
10.0,CBD 15 MG MIXED BERRY 30GUMMY,105.93,4,2
10.0,CBD + 15mg Per Soft-Gel 60ct,7553.18,398,11
10.0,CBD 30MG 60SG,370.56,10,4
10.0,CBD 30mg Gummies Raspberry Ripple 30ct,10075.800000000001,296,14
10.0,CBD + 30mg Per Soft-Gel 60ct,14522.06,469,17
10.0,CBD 30 MG RASPBERRY RIPPLE 30GUMMY,313.16999999999996,11,4
10.0,CBD 50MG 60SG,161.97,3,1
10.0,CBD + 50mg Per Soft-Gel 60ct,2699.4,61,2
10.0,CBD + Ashwagandha 60ct,0,1,1
10.0,CBD + ASHWAGANDHA 60SG,935.4299999999997,58,44
10.0,CBD Balm + Arnica 1000mg,14194.32,408,8
10.0,CBD Balm + Menthol 1000mg,5844.719999999999,168,5
10.0,CBD Cream + Arnica 1000mg,9184.56,268,6
10.0,CBD CREAM + ARNICA 1000MG CBD 3.3OZ,35.72,1,1
10.0,CBD CREAM + MENTHOL 1000MG CBD 3.3OZ,411.47999999999996,11,11
10.0,CBD Gel + Arnica 1000mg,14194.32,412,9
10.0,CBD + Joint Health 78ct,0,1,1
10.0,CBD + MELATONIN 60SG,369.08,26,19
10.0,CBD OIL 1000MG PEPPERMINT 1OZ,2464.8100000000004,87,49
10.0,CBD OIL 1000MG UNFLAVORED 1OZ,340.99,11,4
10.0,CBD OIL 250MG UNFLAVORED 1OZ,89.5,7,3
10.0,CBD OIL 250MG UNFLAVORED 1OZ ##V,51.8,4,1
10.0,CBD Oil Drops 250mg (flavorless) 1 fl. oz.,4505.9,422,6
10.0,CBD + Power to Sleep 60ct,1638.25,121,6
10.0,CBD + POWER TO SLEEP 60SG,282.84000000000003,19,16
10.0,CBD + Turmeric 60ct,563.4399999999999,36,1
10.0,CBD + TURMERIC 60SG,715.7700000000001,38,33
10.0,CBD + Turmeric Extra Strength 60ct,575.76,264,1
10.0,CLA Lean Body Fat Reduction,42.81,3,1
