sku_name,upc_norm12,ytd_revenue,ytd_units,growth_rate,profit_margin
Green Tea Fat Burner 90ct SSLV,000000000000,959101.93,115155,-0.45399601032022282546,
PROSTA STRONG VALUE SIZE 180SG,710363578299,732725.72,17981,0.0078896312972853,
2IN1 KIDNEY & LIVER SUPER CLEANSE 60SG,710363594572,686426.09,45157,0.0171129681136541,
3IN1 CARB BLOCKER MAX STRENGTH VALUE SIZE 150SG,710363581350,546293.79,25985,-0.21245714362325585854,
MILK THISTLE LIVER DETOX 60SG,710363585495,544251.06,38883,0.2437498840230344,
STEEL LIBIDO RED 75SG,710363578602,515520.43,33492,-0.11839731839234193815,
STEEL LIBIDO RED VALUE SIZE 150SG,710363581367,502201.38,18284,-0.02026263756278534626,
STORED FAT BELLY BURNER 60SG,710363586386,491583.87,42653,-0.31405344791048291134,
SUPER CLEANSE 200T,732391501339,484954.38,32976,-0.14051520280811327226,
ADVANCED ABSORPTION MEGA B COMPLEX 60SG,710363579791,478526.12,43207,-0.01198309056440388519,
