PartNumber,Description,ForecastQty,IrwinItem,ActualQty,Variance,VariancePct,Accuracy
APP57875,Magnum SexualPk Perform 16 PwrTabs,72.0,AN057875,0.0,-72.0,-100.0,0.0
IRW26301,Grn Tea FatBurner 30 FstActg LqSgel,380.571429,AN056301,0.0,-380.571429,-100.0,0.0
IRW26319,Libido-Max3-PartPhysicalResponse75LqGs,66.857143,AN056319,36.0,-30.857142999999994,-46.15,53.85
IRW26529,Grn Tea FatBurner 90 FstActg LqSgel,698.571428,AN056529,432.0,-266.57142799999997,-38.16,61.84
IRW56845,Grn Tea Trip FatBurner 30 LqSgel,284.571428,AN056845,168.0,-116.57142800000003,-40.96,59.04
IRW57284,14Day AcaiBryClns 56 Tb,630.857142,AN057284,528.0,-102.85714199999995,-16.3,83.7
IRW57393,"5 Day Liq Cleanse & Flush, 10 ml",58.285714,AN057393,96.0,37.714286,64.71,100.0
IRW57517,Longer Stronger Hair Nails 60 LqSgel,197.142857,AN057517,48.0,-149.142857,-75.65,24.35
IRW57594,HlthyBraDay Focus 50 Tb,270.857142,AN057594,144.0,-126.85714200000001,-46.84,53.16
IRW57806,MagnumBldFlow Sexual Peak Pemance 40 Tb,576.0,AN057806,0.0,-576.0,-100.0,0.0
IRW57837,"LqCllgn Skn Revit, 10 ml",2958.857143,AN057837,2832.0,-126.85714300000018,-4.29,95.71
IRW57889,WeekendColon Flush 16 Tb,2146.285714,AN057889,1488.0,-658.2857140000001,-30.67,69.33
IRW59260,LqCllgn HylrnCAcid 10 LqTb 10 ml,689.142857,AN059260,576.0,-113.14285700000005,-16.42,83.58
IRW26237,Gnko Smrt Max Focus Mmry 60 LqSgel,96.0,IN056230,108.0,12.0,12.5,100.0
IRW26238,Steel Libido 75 LqSgel,104.571428,IN056238,60.0,-44.571428,-42.62,57.38
IRW26239,Ginza-Plus Maca & Rhodiola 75ct,39.428571,IN056239,0.0,-39.428571,-100.0,0.0
IRW26240,Yohimbe+ MaxEnhanceMnt 100 LqSgel,154.285714,IN057384,120.0,-34.28571400000001,-22.22,77.78
IRW26241,ImmunoShield Season Wllnss 100 LqSgel,80.571428,IN056241,132.0,51.428572,63.83,100.0
IRW26242,31 Jot Frml 90 LqSgel,66.857143,IN056242,108.0,41.14285700000001,61.54,100.0
IRW26243,Triple-Boost Caffeine-Free Energy 75ct,22.285714,IN056243,0.0,-22.285714,-100.0,0.0
IRW26244,EstroPause MnoP Suppt 80 LqSgel,80.571428,IN056244,96.0,15.428572000000003,19.15,100.0
IRW26245,ProstaStrong 90 LqSgel,72.0,IN056245,72.0,0.0,0.0,100.0
IRW26322,SteelLibido Wmn 75 LqSgel,176.571428,IN056322,372.0,195.428572,110.68,100.0
IRW26354,Grn Tea Fat Remvtabolizer 75 LqSgel,46.285714,IN056354,24.0,-22.285714,-48.15,51.85
IRW26356,31CarbBlocker Max Strngth 75 LqSgel,1467.428571,IN056356,960.0,-507.4285709999999,-34.58,65.42
IRW40200,Immuno-Shield with Elderberry 60ct,37.714286,IN050200,72.0,34.285714,90.91,100.0
IRW40251,Love My Legs VeCirculation 60 LqSgel,245.142857,IN050251,204.0,-41.14285699999999,-16.78,83.22
IRW40255,Level Up Actv Male 60 LqSgel,123.428571,IN050255,108.0,-15.428571000000005,-12.5,87.5
IRW40271,SteelLibido Max3 Nitric Oxide BSTR 75ct,94.285714,nan,0.0,-94.285714,-100.0,0.0
IRW40287,Brain Awake Max3 + Nitrc oxd bstr 60ct,46.285714,nan,0.0,-46.285714,-100.0,0.0
IRW40329,L-Arginine + Horney Goat Weed,12.0,IN050329,12.0,0.0,0.0,100.0
IRW40360,"ThermoBurn Stuborn Fat Metolizr, 60 SGs",414.857142,IN050360,360.0,-54.85714200000001,-13.22,86.78
IRW40432,Triple Source Magnesium + Ashwagandha,161.142857,IN050432,96.0,-65.14285699999999,-40.43,59.57
IRW40436,Extra Energy Thermo Fuel Max Fat Burner,30.857143,IN050436,96.0,65.14285699999999,211.11,100.0
IRW40466,Daly Multi Tstosterone Up Boostr for Mn,36.0,IN050466,72.0,36.0,100.0,100.0
IRW40522,Testosterone Mega Boost RED 56LSG,44.571428,IN050522,60.0,15.428572000000003,34.62,100.0
IRW40547,10 Day Acai Berry Super Cleanse,41.142857,IN050547,0.0,-41.142857,-100.0,0.0
IRW40560,Next Level Steel Libido x,18.857143,IN050560,0.0,-18.857143,-100.0,0.0
IRW40570,Testosterone Up Prostate Defense,36.0,IN050570,0.0,-36.0,-100.0,0.0
IRW40574,Sensual Woman Endurance Stress  Lbdo,34.285714,IN050574,0.0,-34.285714,-100.0,0.0
IRW40587,Testosterone Up Strength & Size,130.285714,IN050587,0.0,-130.285714,-100.0,0.0
IRW40591,"Type I, II & III Cllgn Peptds + Astxn",36.0,IN050591,12.0,-24.0,-66.67,33.33
IRW40598,Power Mle Hrny gt Weed Nitric Oxd Bstr,27.428571,IN050598,24.0,-3.4285710000000016,-12.5,87.5
IRW40603,Gut-to-Brain Hunger Control,138.857142,IN050603,48.0,-90.85714200000001,-65.43,34.57
IRW40607,Enrgy & Endurance Tstrn Up Men ovr 40,183.42857,IN050607,216.0,32.57142999999999,17.76,100.0
IRW40617,Stress Defy Optimal Sleep,18.0,IN050617,12.0,-6.0,-33.33,66.67
IRW40711,Optimum Strength Tstrn UP PRO-Grwth,12.0,IN050711,24.0,12.0,100.0,100.0
IRW40724,Aller-Pure Histamine Clear 54 ct,29.142857,IN050724,36.0,6.857143000000001,23.53,100.0
IRW40783,Testosterone UP RED Value Size 100 SG,48.0,IN050783,84.0,36.0,75.0,100.0
IRW40785,Stored Fat Belly Burner 100 ct,768.0,IN050785,576.0,-192.0,-25.0,75.0
IRW40787,Whole Body Tumeric Value Sizze 120 SG,36.0,IN050787,24.0,-12.0,-33.33,66.67
IRW40789,L-Citrulline + L-Arginine 60 SG,48.0,IN050789,36.0,-12.0,-25.0,75.0
IRW40822,Healthy Brain All Day Focus 60LSG,12.0,IN050822,0.0,-12.0,-100.0,0.0
IRW40853,Pro-Active Nitric Oxide PWR 60LSG,75.428571,IN050852,120.0,44.571428999999995,59.09,100.0
IRW41021,Liq Qck Delvry Ashwgndha 10ct 100ml Ea,68.571428,nan,0.0,-68.571428,-100.0,0.0
IRW41040,RA Testosterone Up ThermoBurn 60LiqSgels,12.0,IN051040,12.0,0.0,0.0,100.0
IRW41044,Berberine Body Plus Fat Burner 56ct,166.285714,IN051044,132.0,-34.28571400000001,-20.62,79.38
IRW41068,Sleep Fit PM FatBurner 60 LiquidSoftgels,48.0,IN051068,0.0,-48.0,-100.0,0.0
IRW41138,Xtra Strength TestosUP v2 60 LiqSoftgels,42.857143,IN051138,0.0,-42.857143,-100.0,0.0
IRW41142,VitalityRecvry TestoUP Men60Plus 60LiqSf,18.857143,IN051142,24.0,5.142856999999999,27.27,100.0
