IrwinItem,Description,ForecastQty,ActualQty,Variance,VariancePct,Accuracy
AN056301,Grn Tea FatBurner 30 FstActg LqSgel,315.428571,240.0,-75.42857099999998,-23.91,76.09
AN056319,Libido-Max3-PartPhysicalResponse75LqGs,53.142857,48.0,-5.142856999999999,-9.68,90.32
AN056529,Grn Tea FatBurner 90 FstActg LqSgel,579.428571,816.0,236.57142899999997,40.83,100.0
AN056845,Grn Tea Trip FatBurner 30 LqSgel,226.285714,288.0,61.71428599999999,27.27,100.0
AN057284,14Day AcaiBryClns 56 Tb,503.999999,1128.0,624.000001,123.81,100.0
AN057393,"5 Day Liq Cleanse & Flush, 10 ml",48.0,168.0,120.0,250.0,100.0
AN057517,Longer Stronger Hair Nails 60 LqSgel,168.0,144.0,-24.0,-14.29,85.71
AN057594,HlthyBraDay Focus 50 Tb,216.0,360.0,144.0,66.67,100.0
AN057806,MagnumBldFlow Sexual Peak Pemance 40 Tb,660.0,1416.0,756.0,114.55,100.0
AN057837,"LqCllgn Skn Revit, 10 ml",3075.428571,5808.0,2732.571429,88.85,100.0
AN057875,Magnum SexualPk Perform 16 PwrTabs,20.571429,120.0,99.428571,483.33,100.0
AN057889,WeekendColon Flush 16 Tb,1683.428572,2160.0,476.57142799999997,28.31,100.0
AN059260,LqCllgn HylrnCAcid 10 LqTb 10 ml,689.142857,0.0,-689.142857,-100.0,0.0
IN056230,Gnko Smrt Max Focus Mmry 60 LqSgel,99.428572,204.0,104.571428,105.17,100.0
IN056238,Steel Libido 75 LqSgel,130.285714,72.0,-58.28571400000001,-44.74,55.26
IN057384,Yohimbe+ MaxEnhanceMnt 100 LqSgel,89.142857,72.0,-17.142857000000006,-19.23,80.77
IN056241,ImmunoShield Season Wllnss 100 LqSgel,34.285714,48.0,13.714286000000001,40.0,100.0
IN056242,31 Jot Frml 90 LqSgel,58.285714,96.0,37.714286,64.71,100.0
IN056243,Triple-Boost Caffeine-Free Energy 75ct,12.0,36.0,24.0,200.0,100.0
IN056244,EstroPause MnoP Suppt 80 LqSgel,92.571429,60.0,-32.571428999999995,-35.19,64.81
IN056245,ProstaStrong 90 LqSgel,54.857142,84.0,29.142857999999997,53.13,100.0
IN056322,SteelLibido Wmn 75 LqSgel,308.571428,456.0,147.42857199999997,47.78,100.0
IN056354,Grn Tea Fat Remvtabolizer 75 LqSgel,41.142857,0.0,-41.142857,-100.0,0.0
IN056356,31CarbBlocker Max Strngth 75 LqSgel,1510.285715,1956.0,445.714285,29.51,100.0
IN056688,Wmn Livg Grn LqGel Mlti 90 LqSgel,3.428572,60.0,56.571428,1650.0,100.0
IN056689,Mn Livg Grn LqGel Mlti 90 LqSgel,37.714285,36.0,-1.7142849999999967,-4.55,95.45
IN056819,flammaLess 80 LqSgel,70.285714,72.0,1.7142860000000013,2.44,100.0
IN056821,StressDefy 84 LqSgel,30.857142,36.0,5.142858,16.67,100.0
IN056833,Vision Sharp MnutrEye Hth 42 LqSgel,147.428571,132.0,-15.428571000000005,-10.47,89.53
IN056835,Dly GntlClns 60 LqSgel,66.857142,96.0,29.142858000000004,43.59,100.0
