IrwinItem,Description,ForecastQty,ActualQty,Variance,VariancePct,Accuracy
AN056301,Grn Tea FatBurner 30 FstActg LqSgel,360.000002,0.0,-360.000002,-100.0,0.0
AN056319,Libido-Max3-PartPhysicalResponse75LqGs,58.285713,60.0,1.7142869999999988,2.94,100.0
AN056529,Grn Tea FatBurner 90 FstActg LqSgel,590.571428,420.0,-170.57142799999997,-28.88,71.12
AN056845,Grn Tea Trip FatBurner 30 LqSgel,264.000003,168.0,-96.00000299999999,-36.36,63.64
AN057284,14Day AcaiBryClns 56 Tb,709.714287,960.0,250.285713,35.27,100.0
AN057393,"5 Day Liq Cleanse & Flush, 10 ml",75.428573,168.0,92.571427,122.73,100.0
AN057517,Longer Stronger Hair Nails 60 LqSgel,198.857143,204.0,5.142856999999992,2.59,100.0
AN057594,HlthyBraDay Focus 50 Tb,260.571429,216.0,-44.57142900000002,-17.11,82.89
AN057806,MagnumBldFlow Sexual Peak Pemance 40 Tb,522.857142,648.0,125.14285800000005,23.93,100.0
AN057837,"LqCllgn Skn Revit, 10 ml",2646.857145,4488.0,1841.142855,69.56,100.0
AN057875,Magnum SexualPk Perform 16 PwrTabs,58.285714,120.0,61.714286,105.88,100.0
AN057889,WeekendColon Flush 16 Tb,1680.000001,3384.0,1703.999999,101.43,100.0
AN059260,LqCllgn HylrnCAcid 10 LqTb 10 ml,562.285714,0.0,-562.285714,-100.0,0.0
IN056230,Gnko Smrt Max Focus Mmry 60 LqSgel,142.285714,24.0,-118.28571400000001,-83.13,16.87
IN056238,Steel Libido 75 LqSgel,106.285714,96.0,-10.285713999999999,-9.68,90.32
IN056239,Ginza-Plus Maca & Rhodiola 75ct,36.0,0.0,-36.0,-100.0,0.0
IN057384,Yohimbe+ MaxEnhanceMnt 100 LqSgel,123.428571,144.0,20.571428999999995,16.67,100.0
IN056241,ImmunoShield Season Wllnss 100 LqSgel,138.857143,0.0,-138.857143,-100.0,0.0
IN056242,31 Jot Frml 90 LqSgel,113.142857,0.0,-113.142857,-100.0,0.0
IN056243,Triple-Boost Caffeine-Free Energy 75ct,12.0,12.0,0.0,0.0,100.0
IN056244,EstroPause MnoP Suppt 80 LqSgel,97.714285,60.0,-37.714285000000004,-38.6,61.4
IN056245,ProstaStrong 90 LqSgel,77.142857,48.0,-29.142857000000006,-37.78,62.22
IN056322,SteelLibido Wmn 75 LqSgel,248.571426,432.0,183.428574,73.79,100.0
IN056354,Grn Tea Fat Remvtabolizer 75 LqSgel,12.0,36.0,24.0,200.0,100.0
IN056356,31CarbBlocker Max Strngth 75 LqSgel,1359.428573,900.0,-459.4285729999999,-33.8,66.2
IN056688,Wmn Livg Grn LqGel Mlti 90 LqSgel,44.571428,12.0,-32.571428,-73.08,26.92
IN056689,Mn Livg Grn LqGel Mlti 90 LqSgel,65.142857,24.0,-41.14285700000001,-63.16,36.84
