IrwinItem,Description,ForecastQty,ActualQty,Variance,VariancePct,Accuracy
AN056301,Grn Tea FatBurner 30 FstActg LqSgel,315.428569,528.0,212.57143100000002,67.39,100.0
AN056319,Libido-Max3-PartPhysicalResponse75LqGs,63.428571,60.0,-3.428570999999998,-5.41,94.59
AN056529,Grn Tea FatBurner 90 FstActg LqSgel,550.285712,654.0,103.71428800000001,18.85,100.0
AN056845,Grn Tea Trip FatBurner 30 LqSgel,243.428568,192.0,-51.42856800000001,-21.13,78.87
AN057284,14Day AcaiBryClns 56 Tb,555.428569,624.0,68.57143099999996,12.35,100.0
AN057393,"5 Day Liq Cleanse & Flush, 10 ml",61.714284,24.0,-37.714284,-61.11,38.89
AN057517,Longer Stronger Hair Nails 60 LqSgel,186.857142,96.0,-90.85714200000001,-48.62,51.38
AN057594,HlthyBraDay Focus 50 Tb,277.714285,72.0,-205.71428500000002,-74.07,25.93
AN057806,MagnumBldFlow Sexual Peak Pemance 40 Tb,459.428569,216.0,-243.42856899999998,-52.99,47.01
AN057837,"LqCllgn Skn Revit, 10 ml",2365.714282,552.0,-1813.714282,-76.67,23.33
AN057875,Magnum SexualPk Perform 16 PwrTabs,48.0,72.0,24.0,50.0,100.0
AN057889,WeekendColon Flush 16 Tb,1439.999997,2088.0,648.0000030000001,45.0,100.0
AN059260,LqCllgn HylrnCAcid 10 LqTb 10 ml,507.428571,312.0,-195.42857099999998,-38.51,61.49
IN056230,Gnko Smrt Max Focus Mmry 60 LqSgel,114.857142,36.0,-78.857142,-68.66,31.34
IN056238,Steel Libido 75 LqSgel,66.857142,132.0,65.142858,97.44,100.0
IN056239,Ginza-Plus Maca & Rhodiola 75ct,12.0,0.0,-12.0,-100.0,0.0
IN057384,Yohimbe+ MaxEnhanceMnt 100 LqSgel,138.857142,48.0,-90.85714200000001,-65.43,34.57
IN056241,ImmunoShield Season Wllnss 100 LqSgel,94.285713,12.0,-82.285713,-87.27,12.73
IN056242,31 Jot Frml 90 LqSgel,99.428571,36.0,-63.428571000000005,-63.79,36.21
IN056243,Triple-Boost Caffeine-Free Energy 75ct,12.0,48.0,36.0,300.0,100.0
IN056244,EstroPause MnoP Suppt 80 LqSgel,99.428571,144.0,44.571428999999995,44.83,100.0
IN056245,ProstaStrong 90 LqSgel,63.428571,36.0,-27.428570999999998,-43.24,56.76
IN056322,SteelLibido Wmn 75 LqSgel,291.428571,168.0,-123.42857099999998,-42.35,57.65
IN056354,Grn Tea Fat Remvtabolizer 75 LqSgel,48.0,84.0,36.0,75.0,100.0
IN056356,31CarbBlocker Max Strngth 75 LqSgel,1169.142854,1452.0,282.85714600000006,24.19,100.0
IN056688,Wmn Livg Grn LqGel Mlti 90 LqSgel,60.0,36.0,-24.0,-40.0,60.0
IN056689,Mn Livg Grn LqGel Mlti 90 LqSgel,63.428571,60.0,-3.428570999999998,-5.41,94.59
IN056819,flammaLess 80 LqSgel,42.857142,36.0,-6.857142000000003,-16.0,84.0
IN056821,StressDefy 84 LqSgel,24.0,36.0,12.0,50.0,100.0
IN056833,Vision Sharp MnutrEye Hth 42 LqSgel,97.714284,132.0,34.285715999999994,35.09,100.0
IN056835,Dly GntlClns 60 LqSgel,111.428571,24.0,-87.428571,-78.46,21.54
IN056838,Pwr Sleep PM 60 LqSgel,60.0,0.0,-60.0,-100.0,0.0
