IrwinItem,Description,ForecastQty,ActualQty,Variance,VariancePct,Accuracy
AN056301,Grn Tea FatBurner 30 FstActg LqSgel,394.285715,480.0,85.71428500000002,21.74,100.0
AN056319,Libido-Max3-PartPhysicalResponse75LqGs,48.0,84.0,36.0,75.0,100.0
AN056529,Grn Tea FatBurner 90 FstActg LqSgel,534.857145,492.0,-42.857144999999946,-8.01,91.99
AN056845,Grn Tea Trip FatBurner 30 LqSgel,270.857144,336.0,65.142856,24.05,100.0
AN057284,14Day AcaiBryClns 56 Tb,603.428573,720.0,116.57142699999997,19.32,100.0
AN057393,"5 Day Liq Cleanse & Flush, 10 ml",82.285715,120.0,37.714285000000004,45.83,100.0
AN057517,Longer Stronger Hair Nails 60 LqSgel,142.285716,180.0,37.71428399999999,26.51,100.0
AN057594,HlthyBraDay Focus 50 Tb,236.57143,264.0,27.428570000000008,11.59,100.0
AN057806,MagnumBldFlow Sexual Peak Pemance 40 Tb,553.714288,1236.0,682.285712,123.22,100.0
AN057837,"LqCllgn Skn Revit, 10 ml",2451.428573,5280.0,2828.571427,115.38,100.0
AN057875,Magnum SexualPk Perform 16 PwrTabs,58.285715,120.0,61.714285,105.88,100.0
AN057889,WeekendColon Flush 16 Tb,1560.000003,2544.0,983.9999969999999,63.08,100.0
AN059260,LqCllgn HylrnCAcid 10 LqTb 10 ml,534.857143,672.0,137.14285700000005,25.64,100.0
IN056230,Gnko Smrt Max Focus Mmry 60 LqSgel,113.142858,204.0,90.857142,80.3,100.0
IN056238,Steel Libido 75 LqSgel,125.142858,204.0,78.857142,63.01,100.0
IN056239,Ginza-Plus Maca & Rhodiola 75ct,36.0,0.0,-36.0,-100.0,0.0
IN057384,Yohimbe+ MaxEnhanceMnt 100 LqSgel,99.428573,168.0,68.571427,68.97,100.0
IN056241,ImmunoShield Season Wllnss 100 LqSgel,92.571432,144.0,51.428568,55.56,100.0
IN056242,31 Jot Frml 90 LqSgel,106.285716,168.0,61.714284000000006,58.06,100.0
IN056243,Triple-Boost Caffeine-Free Energy 75ct,24.0,60.0,36.0,150.0,100.0
IN056244,EstroPause MnoP Suppt 80 LqSgel,113.142858,132.0,18.857141999999996,16.67,100.0
IN056245,ProstaStrong 90 LqSgel,82.285716,144.0,61.714284000000006,75.0,100.0
IN056322,SteelLibido Wmn 75 LqSgel,320.571431,348.0,27.42856899999998,8.56,100.0
IN056354,Grn Tea Fat Remvtabolizer 75 LqSgel,22.285716,72.0,49.714284,223.08,100.0
IN056356,31CarbBlocker Max Strngth 75 LqSgel,1145.14286,1848.0,702.8571400000001,61.38,100.0
IN056688,Wmn Livg Grn LqGel Mlti 90 LqSgel,41.142858,48.0,6.857142000000003,16.67,100.0
IN056689,Mn Livg Grn LqGel Mlti 90 LqSgel,72.0,0.0,-72.0,-100.0,0.0
IN056819,flammaLess 80 LqSgel,77.142858,132.0,54.857141999999996,71.11,100.0
IN056821,StressDefy 84 LqSgel,24.0,48.0,24.0,100.0,100.0
IN056833,Vision Sharp MnutrEye Hth 42 LqSgel,137.142858,348.0,210.857142,153.75,100.0
IN056835,Dly GntlClns 60 LqSgel,106.285716,180.0,73.714284,69.35,100.0
IN056838,Pwr Sleep PM 60 LqSgel,41.142858,12.0,-29.142857999999997,-70.83,29.17
IN056889,TripTea FatBurner 75 LqSgel,123.428574,144.0,20.571426000000002,16.67,100.0
IN056939,Longer Stronger Hair & Nails 60ct,29.142858,96.0,66.857142,229.41,100.0
IN057304,BloatAway 60 LqSgel,106.285716,120.0,13.714284000000006,12.9,100.0
IN057546,"Women s Living Green, 120 SG",60.0,96.0,36.0,60.0,100.0
IN057547,Mn Livg Grn LqGel Mlti 120 LqSgel,80.571431,120.0,39.428568999999996,48.94,100.0
IN057552,AntiGasDgstvEnzy 45 LqSgel,185.142861,360.0,174.857139,94.44,100.0
IN057615,Double-Potency Fish Oil Pure 60ct,12.0,0.0,-12.0,-100.0,0.0
IN057738,Only 1 Liquid-Gel Multi w/ IRON 60ct,24.0,48.0,24.0,100.0,100.0
IN057739,Only 1 Liquid-Gel Multi w/out IRON 60ct,12.0,24.0,12.0,100.0,100.0
IN057825,SteelLibido 150 LqSgel,77.142858,0.0,-77.142858,-100.0,0.0
IN057826,Gnko Smrt Max Focus Mmry 120 LqSgel,142.285716,240.0,97.71428399999999,68.67,100.0
IN057827,Pwr Sleep PM 120 LqSgel,118.285716,0.0,-118.285716,-100.0,0.0
IN057828,Grn Tea Fat Remvtabolizer 150 Lq Sgel,39.428574,96.0,56.571426,143.48,100.0
IN057829,ProstaStrong Hlthy Urary Flow 180 LqSgel,99.428574,48.0,-51.428574,-51.72,48.28
IN057860,SteelLibido Rd MagnumBldFlow 75 LqSgel,200.571432,312.0,111.42856800000001,55.56,100.0
IN057979,RemvgaBCmplx QuickEnrgy MCT s 60 LqSgel,202.285716,468.0,265.714284,131.36,100.0
IN057986,CllgnPure Deep Tissue 80 LqSgel,24.0,84.0,60.0,250.0,100.0
IN058051,Sunny Mood 75 LqSgel,77.142858,108.0,30.857141999999996,40.0,100.0
IN058104,Tststrne UP 60 LqSgel,53.142858,108.0,54.857142,103.23,100.0
IN058134,Hlthy Skn Hair + Nails 120 LqSgel,48.0,0.0,-48.0,-100.0,0.0
IN058135,31CarbBlocker Max Strngth 150 LqSgel,1969.714288,2568.0,598.2857120000001,30.37,100.0
IN058136,SteelLibido Rd MagnumBldFlow 150 LqSgel,258.857147,96.0,-162.857147,-62.91,37.09
IN058225,C.L.A. Lean Bdy Fat Rduction 80 LqSgel,46.285716,156.0,109.71428399999999,237.04,100.0
IN058246,TripDiet Max Accelerar 72 LqSgel,207.428574,180.0,-27.428573999999998,-13.22,86.78
IN058307,AloeTriphalaActvClnseandProBtcs60LqGs,118.285716,144.0,25.714284000000006,21.74,100.0
IN058313,Bra Awake 60 LqSgel,48.0,72.0,24.0,50.0,100.0
IN058315,Mghty Morga 60 LqSgel,101.142858,132.0,30.857141999999996,30.51,100.0
IN058334,Garcinia HCA Fat Reduction Diet 90ct,36.0,0.0,-36.0,-100.0,0.0
IN058410,Biotin-6000 Strength & Protection 60ct,17.142858,24.0,6.857142,40.0,100.0
IN058421,skol FatLossDiet 60 LqSgel,229.71429,204.0,-25.714290000000005,-11.19,88.81
IN058486,Nitric Oxide Pre Sport 60ct,22.285716,84.0,61.714284,276.92,100.0
