IrwinItem,Description,ForecastQty,ActualQty,Variance,VariancePct,Accuracy
AN056301,Grn Tea FatBurner 30 FstActg LqSgel,267.428572,0.0,-267.428572,-100.0,0.0
AN056319,Libido-Max3-PartPhysicalResponse75LqGs,60.0,0.0,-60.0,-100.0,0.0
AN056529,Grn Tea FatBurner 90 FstActg LqSgel,492.0,0.0,-492.0,-100.0,0.0
AN056845,Grn Tea Trip FatBurner 30 LqSgel,209.142856,0.0,-209.142856,-100.0,0.0
AN057284,14Day AcaiBryClns 56 Tb,586.285712,0.0,-586.285712,-100.0,0.0
AN057393,"5 Day Liq Cleanse & Flush, 10 ml",44.571428,0.0,-44.571428,-100.0,0.0
AN057517,Longer Stronger Hair Nails 60 LqSgel,159.428571,0.0,-159.428571,-100.0,0.0
AN057594,HlthyBraDay Focus 50 Tb,301.714284,0.0,-301.714284,-100.0,0.0
AN057806,MagnumBldFlow Sexual Peak Pemance 40 Tb,588.0,0.0,-588.0,-100.0,0.0
AN057837,"LqCllgn Skn Revit, 10 ml",2756.571429,0.0,-2756.571429,-100.0,0.0
AN057875,Magnum SexualPk Perform 16 PwrTabs,44.571428,0.0,-44.571428,-100.0,0.0
AN057889,WeekendColon Flush 16 Tb,1282.285713,0.0,-1282.285713,-100.0,0.0
AN059260,LqCllgn HylrnCAcid 10 LqTb 10 ml,551.999999,0.0,-551.999999,-100.0,0.0
IN056230,Gnko Smrt Max Focus Mmry 60 LqSgel,106.285714,0.0,-106.285714,-100.0,0.0
IN056238,Steel Libido 75 LqSgel,108.0,0.0,-108.0,-100.0,0.0
IN057384,Yohimbe+ MaxEnhanceMnt 100 LqSgel,65.142857,0.0,-65.142857,-100.0,0.0
IN056241,ImmunoShield Season Wllnss 100 LqSgel,58.285714,0.0,-58.285714,-100.0,0.0
IN056242,31 Jot Frml 90 LqSgel,75.428571,0.0,-75.428571,-100.0,0.0
IN056243,Triple-Boost Caffeine-Free Energy 75ct,29.142857,0.0,-29.142857,-100.0,0.0
IN056244,EstroPause MnoP Suppt 80 LqSgel,73.714286,0.0,-73.714286,-100.0,0.0
IN056245,ProstaStrong 90 LqSgel,51.428571,0.0,-51.428571,-100.0,0.0
IN056322,SteelLibido Wmn 75 LqSgel,306.857142,0.0,-306.857142,-100.0,0.0
IN056354,Grn Tea Fat Remvtabolizer 75 LqSgel,34.285714,0.0,-34.285714,-100.0,0.0
IN056356,31CarbBlocker Max Strngth 75 LqSgel,1167.428571,0.0,-1167.428571,-100.0,0.0
IN056688,Wmn Livg Grn LqGel Mlti 90 LqSgel,12.0,0.0,-12.0,-100.0,0.0
IN056689,Mn Livg Grn LqGel Mlti 90 LqSgel,41.142857,0.0,-41.142857,-100.0,0.0
IN056819,flammaLess 80 LqSgel,70.285714,0.0,-70.285714,-100.0,0.0
IN056821,StressDefy 84 LqSgel,30.857142,0.0,-30.857142,-100.0,0.0
IN056833,Vision Sharp MnutrEye Hth 42 LqSgel,128.571429,0.0,-128.571429,-100.0,0.0
IN056835,Dly GntlClns 60 LqSgel,80.571428,0.0,-80.571428,-100.0,0.0
IN056838,Pwr Sleep PM 60 LqSgel,60.0,0.0,-60.0,-100.0,0.0
IN056889,TripTea FatBurner 75 LqSgel,37.714286,0.0,-37.714286,-100.0,0.0
IN056939,Longer Stronger Hair & Nails 60ct,34.285714,0.0,-34.285714,-100.0,0.0
IN057304,BloatAway 60 LqSgel,66.857143,0.0,-66.857143,-100.0,0.0
IN057546,"Women s Living Green, 120 SG",34.285714,0.0,-34.285714,-100.0,0.0
IN057547,Mn Livg Grn LqGel Mlti 120 LqSgel,65.142857,0.0,-65.142857,-100.0,0.0
IN057552,AntiGasDgstvEnzy 45 LqSgel,111.428571,0.0,-111.428571,-100.0,0.0
IN057738,Only 1 Liquid-Gel Multi w/ IRON 60ct,34.285714,0.0,-34.285714,-100.0,0.0
IN057739,Only 1 Liquid-Gel Multi w/out IRON 60ct,22.285714,0.0,-22.285714,-100.0,0.0
IN057825,SteelLibido 150 LqSgel,78.857143,0.0,-78.857143,-100.0,0.0
IN057826,Gnko Smrt Max Focus Mmry 120 LqSgel,162.857143,0.0,-162.857143,-100.0,0.0
IN057827,Pwr Sleep PM 120 LqSgel,99.428571,0.0,-99.428571,-100.0,0.0
IN057828,Grn Tea Fat Remvtabolizer 150 Lq Sgel,12.0,0.0,-12.0,-100.0,0.0
IN057829,ProstaStrong Hlthy Urary Flow 180 LqSgel,80.571428,0.0,-80.571428,-100.0,0.0
IN057860,SteelLibido Rd MagnumBldFlow 75 LqSgel,236.571428,0.0,-236.571428,-100.0,0.0
IN057979,RemvgaBCmplx QuickEnrgy MCT s 60 LqSgel,238.285714,0.0,-238.285714,-100.0,0.0
IN057986,CllgnPure Deep Tissue 80 LqSgel,24.0,0.0,-24.0,-100.0,0.0
IN058051,Sunny Mood 75 LqSgel,96.0,0.0,-96.0,-100.0,0.0
IN058104,Tststrne UP 60 LqSgel,36.0,0.0,-36.0,-100.0,0.0
IN058134,Hlthy Skn Hair + Nails 120 LqSgel,72.0,0.0,-72.0,-100.0,0.0
IN058135,31CarbBlocker Max Strngth 150 LqSgel,1889.142856,0.0,-1889.142856,-100.0,0.0
