IrwinItem,Description,ForecastQty,ActualQty,Variance,VariancePct,Accuracy
AN056301,Grn Tea FatBurner 30 FstActg LqSgel,274.285714,456.0,181.71428600000002,66.25,100.0
AN056319,Libido-Max3-PartPhysicalResponse75LqGs,56.571429,60.0,3.428570999999998,6.06,100.0
AN056529,Grn Tea FatBurner 90 FstActg LqSgel,479.142857,972.0,492.857143,102.86,100.0
AN056845,Grn Tea Trip FatBurner 30 LqSgel,209.142857,264.0,54.85714300000001,26.23,100.0
AN057284,14Day AcaiBryClns 56 Tb,637.714287,888.0,250.285713,39.25,100.0
AN057393,"5 Day Liq Cleanse & Flush, 10 ml",96.0,96.0,0.0,0.0,100.0
AN057517,Longer Stronger Hair Nails 60 LqSgel,178.285714,180.0,1.714285999999987,0.96,100.0
AN057594,HlthyBraDay Focus 50 Tb,185.142857,264.0,78.85714300000001,42.59,100.0
AN057806,MagnumBldFlow Sexual Peak Pemance 40 Tb,596.571428,768.0,171.42857200000003,28.74,100.0
AN057837,"LqCllgn Skn Revit, 10 ml",3003.42857,3480.0,476.57142999999996,15.87,100.0
AN057875,Magnum SexualPk Perform 16 PwrTabs,48.0,24.0,-24.0,-50.0,50.0
AN057889,WeekendColon Flush 16 Tb,2238.857144,1776.0,-462.85714400000006,-20.67,79.33
AN059260,LqCllgn HylrnCAcid 10 LqTb 10 ml,675.428572,0.0,-675.428572,-100.0,0.0
IN056230,Gnko Smrt Max Focus Mmry 60 LqSgel,137.142858,72.0,-65.14285799999999,-47.5,52.5
IN056238,Steel Libido 75 LqSgel,114.857144,192.0,77.142856,67.16,100.0
IN057384,Yohimbe+ MaxEnhanceMnt 100 LqSgel,75.428572,216.0,140.571428,186.36,100.0
IN056241,ImmunoShield Season Wllnss 100 LqSgel,66.857144,12.0,-54.857144000000005,-82.05,17.95
IN056242,31 Jot Frml 90 LqSgel,97.714287,96.0,-1.7142869999999988,-1.75,98.25
IN056243,Triple-Boost Caffeine-Free Energy 75ct,29.142857,0.0,-29.142857,-100.0,0.0
IN056244,EstroPause MnoP Suppt 80 LqSgel,68.571429,96.0,27.428571000000005,40.0,100.0
IN056245,ProstaStrong 90 LqSgel,73.714287,60.0,-13.714286999999999,-18.6,81.4
IN056322,SteelLibido Wmn 75 LqSgel,324.000002,504.0,179.999998,55.56,100.0
IN056354,Grn Tea Fat Remvtabolizer 75 LqSgel,34.285715,0.0,-34.285715,-100.0,0.0
IN056356,31CarbBlocker Max Strngth 75 LqSgel,1155.428571,2088.0,932.5714290000001,80.71,100.0
IN056688,Wmn Livg Grn LqGel Mlti 90 LqSgel,24.0,24.0,0.0,0.0,100.0
IN056689,Mn Livg Grn LqGel Mlti 90 LqSgel,75.428572,60.0,-15.428572000000003,-20.45,79.55
IN056819,flammaLess 80 LqSgel,66.857144,60.0,-6.857144000000005,-10.26,89.74
IN056821,StressDefy 84 LqSgel,44.57143,36.0,-8.57143,-19.23,80.77
IN056833,Vision Sharp MnutrEye Hth 42 LqSgel,154.285716,252.0,97.71428399999999,63.33,100.0
IN056835,Dly GntlClns 60 LqSgel,90.857144,60.0,-30.857144000000005,-33.96,66.04
IN056838,Pwr Sleep PM 60 LqSgel,54.857144,132.0,77.142856,140.62,100.0
IN056889,TripTea FatBurner 75 LqSgel,56.571429,0.0,-56.571429,-100.0,0.0
IN056939,Longer Stronger Hair & Nails 60ct,34.285715,96.0,61.714285,180.0,100.0
IN057304,BloatAway 60 LqSgel,51.428572,108.0,56.571428,110.0,100.0
IN057546,"Women s Living Green, 120 SG",58.285715,48.0,-10.285715000000003,-17.65,82.35
IN057547,Mn Livg Grn LqGel Mlti 120 LqSgel,84.000002,96.0,11.999998000000005,14.29,100.0
IN057552,AntiGasDgstvEnzy 45 LqSgel,142.285716,120.0,-22.285716000000008,-15.66,84.34
IN057738,Only 1 Liquid-Gel Multi w/ IRON 60ct,24.0,0.0,-24.0,-100.0,0.0
IN057739,Only 1 Liquid-Gel Multi w/out IRON 60ct,34.285715,60.0,25.714284999999997,75.0,100.0
IN057825,SteelLibido 150 LqSgel,60.000001,216.0,155.999999,260.0,100.0
IN057826,Gnko Smrt Max Focus Mmry 120 LqSgel,207.428573,372.0,164.571427,79.34,100.0
IN057827,Pwr Sleep PM 120 LqSgel,87.428572,288.0,200.571428,229.41,100.0
IN057828,Grn Tea Fat Remvtabolizer 150 Lq Sgel,56.57143,0.0,-56.57143,-100.0,0.0
IN057829,ProstaStrong Hlthy Urary Flow 180 LqSgel,72.0,132.0,60.0,83.33,100.0
IN057860,SteelLibido Rd MagnumBldFlow 75 LqSgel,214.285716,408.0,193.714284,90.4,100.0
IN057979,RemvgaBCmplx QuickEnrgy MCT s 60 LqSgel,260.57143,288.0,27.42856999999998,10.53,100.0
IN057986,CllgnPure Deep Tissue 80 LqSgel,68.571429,72.0,3.428571000000005,5.0,100.0
IN058051,Sunny Mood 75 LqSgel,77.142859,288.0,210.857141,273.33,100.0
IN058104,Tststrne UP 60 LqSgel,82.285715,144.0,61.714285000000004,75.0,100.0
IN058134,Hlthy Skn Hair + Nails 120 LqSgel,56.571429,204.0,147.428571,260.61,100.0
IN058135,31CarbBlocker Max Strngth 150 LqSgel,2012.57143,1704.0,-308.57142999999996,-15.33,84.67
IN058136,SteelLibido Rd MagnumBldFlow 150 LqSgel,231.428573,684.0,452.57142699999997,195.56,100.0
IN058225,C.L.A. Lean Bdy Fat Rduction 80 LqSgel,68.57143,132.0,63.42856999999999,92.5,100.0
IN058246,TripDiet Max Accelerar 72 LqSgel,192.000003,288.0,95.99999700000001,50.0,100.0
IN058307,AloeTriphalaActvClnseandProBtcs60LqGs,132.000001,252.0,119.999999,90.91,100.0
IN058313,Bra Awake 60 LqSgel,51.428572,48.0,-3.4285720000000026,-6.67,93.33
IN058315,Mghty Morga 60 LqSgel,137.142859,132.0,-5.142858999999987,-3.75,96.25
IN058334,Garcinia HCA Fat Reduction Diet 90ct,12.0,0.0,-12.0,-100.0,0.0
IN058410,Biotin-6000 Strength & Protection 60ct,12.0,0.0,-12.0,-100.0,0.0
IN058421,skol FatLossDiet 60 LqSgel,229.714286,588.0,358.285714,155.97,100.0
IN058486,Nitric Oxide Pre Sport 60ct,17.142857,12.0,-5.142856999999999,-30.0,70.0
IN058528,Tststrne UP 120 LqSgel,92.571429,0.0,-92.571429,-100.0,0.0
IN058531,"SteelLibido Pnk, Wmn 60 LqSgel",137.142858,276.0,138.857142,101.25,100.0
IN058532,ProstaStrong Rd 80 LqSgel,72.000002,60.0,-12.000001999999995,-16.67,83.33
IN058536,Pwr Sleep PM 6 mg Remvlotn 60 LqSgel,53.142857,0.0,-53.142857,-100.0,0.0
IN058537,Dbl Potncy 5HTPExt 60 LqSgel,44.571429,84.0,39.428571,88.46,100.0
